name,qualifications,preference_days_count,preference_machines,preference_days
worker1,1,19,2,18-12-6-0-15-9
worker2,3,17,6,7-9-14-13-19-16
worker3,2,15,1,10-5-8-18-6-1
worker4,8,13,2,16-8-17-10-11-0
worker5,1,11,2,6-10-8-18-1-3-2
worker6,3,18,8,1-4-7-18-15-19-10-8-12-6
worker7,8,12,4,10-13-3-14-4-19
worker8,5,11,7,3-6-14-19-17-16
worker9,2,20,3,15-0-19-7-9-1-6-13-11-3
worker10,10,20,6,18-15-14-1-6-2-19-8-10-7
worker11,3,17,1,3-14-15-13-12-4-10-5
worker12,10,11,8,15-19-0-6-2-10-12-18
worker13,10,20,6,15-5-12-4-1-14-7-6-3-13
worker14,8,15,8,5-19-13-16-4-14-15-11
worker15,3,20,0,2-12-3-8-16-6-0-7-10
worker16,8,15,1,14-2-9-6-4
worker17,8,18,9,19-5-1-6-13-3-2-11-18
worker18,8,18,3,6-16-0-15-12-4-5-8-9-17
worker19,8,20,4,4-1-8-16-6-11-12-9-18
worker20,8,15,6,14-18-17-4-9-12-15-8
worker21,8,15,4,1-15-12-9-7-5-13-3-14
worker22,7,18,9,1-7-19-17-8-15-4-0-12-2
worker23,6,16,7,8-4-5-17-18-2-16-13-9
worker24,5,18,6,10-2-9-14-16-1-6-11-17-7
