name,qualifications,preference_days_count,preference_machines,preference_days
worker1,3,11,2,15-2-4-3-13-10-14-0-9-5
worker2,8,13,1,17-6-8-15-19-2-11-4
worker3,2,13,7,15-19-5-11-4-12-2
worker4,2,19,1,16-7-9-12-14-19-1-8
worker5,4,13,1,8-12-2-4-13-17-7
worker6,2,16,2,17-15-12-4-11-0-19-8-5-7
worker7,4,17,0,4-3-11-5-16-18-10-19-2
worker8,8,20,5,17-11-9-12-16-7-3-10-2
worker9,3,13,5,17-18-6-16-8-3-4-0
worker10,4,19,2,15-1-9-11-6
worker11,3,12,2,3-6-13-19-8
worker12,3,19,1,7-13-14-9-11-12-8-3
worker13,2,12,4,13-17-9-0-3-1-6-10-2-15
worker14,2,16,6,18-5-1-2-17-9-6
worker15,2,20,2,17-8-2-0-6-11-16-13-1-12
worker16,2,15,6,2-12-16-6-1-7-4-19-18-0
worker17,3,18,2,8-11-7-17-16-15-12-1-14
worker18,2,18,2,16-9-6-11-8-7
worker19,2,14,0,0-6-12-7-3-15
worker20,2,15,0,11-16-10-2-14-13
worker21,2,16,4,1-3-15-11-18-10-19-6-16
worker22,6,13,3,14-3-1-0-5-4-11
worker23,5,12,2,5-7-1-4-0-11
worker24,3,19,0,5-17-18-12-13
worker25,8,13,0,17-10-6-14-12-2-3-0
