name,qualifications,preference_days_count,preference_machines,preference_days
worker1,6,14,4,6-17-8-2-14
worker2,6,12,2,1-13-14-7-11-8-6-4-2
worker3,3,18,4,0-11-3-10-9-7-1-18-17-13
worker4,5,10,0,1-2-6-13-5-9-19-11-7
worker5,3,16,1,6-7-18-8-16-19-4-3-11-15
worker6,5,14,3,3-8-19-7-10-14-15-18
worker7,1,13,3,15-1-13-14-9-12-17-5
worker8,4,17,6,14-4-7-2-9-17-13-15-5-10
worker9,1,10,1,4-19-15-5-2-14-17
worker10,1,10,0,0-15-8-17-9-3-19-6-13-2
worker11,1,18,2,13-16-8-19-4
worker12,7,20,6,15-7-4-14-13-3-19
worker13,2,15,0,1-10-16-19-9
worker14,2,15,4,4-17-19-8-14-3-11-18-16-2
