name,qualifications,preference_days_count,preference_machines,preference_days
worker1,3,15,0,18-16-8-11-5-14
worker2,6,20,8,11-9-17-4-18-10-2-0
worker3,2,10,1,13-4-1-19-2-17
worker4,6,20,7,10-19-18-15-16-11-7-3-13-1
worker5,1,16,9,0-8-1-4-14-19-18-5-13
worker6,9,18,0,3-5-7-0-15
worker7,4,12,6,13-16-12-6-4-9-2
worker8,1,15,7,14-5-12-4-15
worker9,6,17,6,10-0-11-7-12-5-9-4-17
worker10,9,13,0,8-0-17-9-19-1-14-16-13-5
worker11,9,17,9,13-18-14-19-0
worker12,3,10,5,6-8-19-18-14
worker13,4,12,4,0-18-10-9-8-1-4-13-12
worker14,3,11,4,3-15-4-19-7
worker15,3,10,2,8-11-5-19-16-13-18-12-10
worker16,6,13,1,14-5-10-8-18
worker17,3,19,6,2-8-11-12-6
worker18,3,17,7,4-6-5-16-18-15-9
worker19,6,14,2,19-9-14-16-6
worker20,6,17,8,3-15-4-18-6-13-14-2-9
worker21,2,10,8,10-11-6-0-2-4-8-13-1-14
worker22,9,17,3,13-14-11-3-0-2-16-5
worker23,2,10,1,17-7-16-4-5-0-6-9-2-18
worker24,9,13,4,13-19-8-16-17-6-5-15-12
worker25,1,20,4,9-3-8-4-14
worker26,2,19,5,17-0-10-3-2-8
worker27,5,20,9,2-13-3-7-0-1-11-15-6-18
worker28,4,10,0,17-13-10-12-14-8-4-15-2
worker29,6,12,9,13-9-6-7-8-10-18-16-3
worker30,8,17,5,8-2-14-16-15-13-6-9
worker31,10,13,1,15-9-12-3-13-18-10-8-2
worker32,10,17,7,11-0-8-18-17-5-7-2-15
worker33,10,18,8,2-4-10-1-15-0
worker34,9,11,1,5-9-3-4-12-17
worker35,2,20,1,15-8-16-18-17-1
worker36,2,12,1,13-8-2-10-1-6-19-16-17
worker37,8,17,7,1-7-5-18-3-10-4-19-13
worker38,5,14,3,9-19-7-12-10-11
