name,qualifications,preference_days_count,preference_machines,preference_days
worker1,7,14,5,1-4-16-12-5-9-18-14
worker2,1,13,8,6-15-5-18-19-8-4-12-1-13
worker3,8,18,4,1-4-8-7-9-13
worker4,2,18,1,4-6-9-17-16
worker5,8,13,0,12-11-1-14-16-9-10-4-2
worker6,8,20,4,4-9-12-6-17-10
worker7,4,15,6,12-5-4-14-19-0
worker8,1,17,5,10-11-14-12-2-8-7-19-6-4
worker9,3,15,6,8-3-11-15-7-2-6
worker10,3,12,2,3-9-15-14-6-5-12-1-17-10
worker11,3,18,5,12-17-8-18-16-10-4
worker12,7,11,6,6-12-3-5-18-17-2-10-13
worker13,1,15,7,9-14-2-10-3-12-13-1
worker14,8,20,7,12-18-13-8-4-14-16-7-2
worker15,2,20,5,12-5-4-17-11
worker16,4,17,4,13-0-19-14-16-17-12
worker17,8,19,1,11-14-10-16-7-9-13-8
worker18,4,10,5,18-13-19-14-7-5
worker19,2,11,0,0-19-13-9-2-11-7-18-17-1
worker20,2,13,1,5-3-13-6-7-9-17
worker21,1,19,2,4-12-17-2-19-6
worker22,1,18,5,15-6-18-3-17-10-1-12-16
worker23,8,10,6,2-13-9-4-14-15-17-3
worker24,5,16,0,19-9-1-16-11-18-8-6-3-10
worker25,1,13,6,17-10-3-0-13-1-14-15-2-18
worker26,3,11,4,8-15-17-1-12-13-4-11
worker27,8,19,0,14-17-3-7-19-0
worker28,5,12,4,4-12-18-14-16-1
worker29,3,11,4,11-5-2-7-13-3
worker30,9,10,8,14-7-2-15-17-0
worker31,3,20,0,17-2-13-15-7
