name,qualifications,preference_days_count,preference_machines,preference_days
worker1,2,20,7,16-8-6-12-5-7-4-0-17-3
worker2,3,18,5,10-9-2-12-8-6-5-19-0
worker3,3,18,8,10-19-5-17-9-7-11-1-13-4
worker4,1,10,3,11-0-14-8-18-10-5-12-3-16
worker5,9,17,0,15-4-5-3-6-17
worker6,9,17,2,14-17-5-2-7
worker7,10,19,7,5-15-8-6-0-13
worker8,3,10,7,1-2-8-7-18-5-15
worker9,1,19,5,14-11-9-12-0-1-18
worker10,2,16,9,6-9-8-1-11-12-5-13-0-2
worker11,2,11,7,0-6-15-8-16-13-19
worker12,2,13,2,2-18-8-14-7-13
worker13,10,12,0,5-3-19-17-12-6-13
worker14,9,13,1,0-10-19-4-9-14-2-11
worker15,1,15,9,3-0-12-15-19-8-4-9-16-2
worker16,10,15,3,3-2-19-4-14
worker17,1,19,1,2-11-18-6-0-3
worker18,1,16,1,8-5-16-9-1-11-13-12-2
worker19,9,15,7,5-13-9-2-1-10
worker20,9,10,4,17-8-2-7-11
worker21,6,16,4,9-2-4-16-5-17-1-15-8-7
worker22,4,11,0,13-14-10-1-6-11-15-19-12
worker23,6,10,6,0-16-12-3-10-17
worker24,1,11,0,13-10-12-2-9-8-7-14-5-18
worker25,3,12,0,19-7-12-18-11
worker26,9,20,2,18-9-16-19-4-10-15-11-13
